# Revision History
# Author,OpenAI Codex
# Date,2026-06-26
# Change,Initial repository export generated by Get_Repositories.py v1.0.0

# File Description
# Summary,"Repository data read from a GitHub organization and filtered automatically by visibility, archive status, and activity cutoff."
# Generation Process,Two-stage process: stage 1 automated export by script; stage 2 optional manual filtering if repository-side tags or metadata are missing.
# Source Script,Get_Repositories.py v1.0.0
# Suggested Workflows,"Excel review, manual repository qualification, and follow-on automation workflows that consume repository lists."
# Organization,arm-examples
# Activity Cutoff,2024-06-01

# Field Descriptions
# repository,Repository name in the selected GitHub organization.
# last_push,Timestamp of the latest push reported by GitHub.
# visibility,Normalized repository visibility status after API readout.
# archived,Archive flag returned by GitHub for the repository.
# unique_visitors_14d,Unique repository visitors in the last 14 days.
# unique_cloners_14d,Unique repository cloners in the last 14 days.
# total_views_14d,Total repository page views in the last 14 days.
# traffic_status,"Traffic readout result, for example OK or an API access message."

repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status
FVPs-on-Mac,2026-06-01T03:50:09Z,PUBLIC,FALSE,15,28,66,OK
executorch-grid-sample-export,2026-05-21T15:47:10Z,PUBLIC,FALSE,14,22,44,OK
STM32_LiveUpdate,2026-05-21T12:22:38Z,PUBLIC,FALSE,6,22,6,OK
cmsis-mlek,2026-05-19T13:52:28Z,PUBLIC,FALSE,9,25,36,OK
Hello_B-U585I-IOT02A,2026-05-18T14:40:08Z,PUBLIC,FALSE,2,20,2,OK
ML-examples,2026-05-14T09:15:10Z,PUBLIC,FALSE,75,44,172,OK
mlek-cmsis-pack-examples,2026-05-07T16:02:06Z,PUBLIC,FALSE,20,35,51,OK
Hello_NUCLEO-G474RE,2026-05-07T14:21:59Z,PUBLIC,FALSE,8,76,14,OK
Hello_NUCLEO-F756ZG,2026-05-07T13:51:57Z,PUBLIC,FALSE,0,17,0,OK
Hello_MIMXRT1064-EVK,2026-05-07T13:28:22Z,PUBLIC,FALSE,1,22,1,OK
Hello_MIMXRT1060-EVKB,2026-05-07T13:16:59Z,PUBLIC,FALSE,2,20,8,OK
Hello_LPCXpresso55S69,2026-05-07T12:53:06Z,PUBLIC,FALSE,3,249,4,OK
Hello_IMXRT1050-EVKB,2026-05-07T12:07:36Z,PUBLIC,FALSE,0,20,0,OK
Hello_FRDM-K32L3A6,2026-05-07T11:36:50Z,PUBLIC,FALSE,1,196,1,OK
CMSIS-Stream_SDS_Demo,2026-05-07T10:39:29Z,PUBLIC,FALSE,2,18,2,OK
Blinky_FRDM-K32L3A6,2026-05-07T09:00:37Z,PUBLIC,FALSE,0,20,0,OK
Blinky_AVH_uV,2026-05-07T08:51:13Z,PUBLIC,FALSE,0,15,0,OK
AVH-VSI,2026-05-06T12:37:33Z,PUBLIC,FALSE,1,202,2,OK
AWS_MQTT_Demo,2026-04-17T10:03:30Z,PUBLIC,FALSE,5,27,20,OK
CMSIS-Zephyr-Executorch,2026-04-16T13:21:53Z,PUBLIC,FALSE,2,23,2,OK
STT-Runner,2026-04-14T12:49:55Z,PUBLIC,FALSE,13,31,29,OK
Hello_Codespaces,2026-04-14T07:34:51Z,PUBLIC,FALSE,18,79,43,OK
Safety-Example-Infineon-T2G,2026-04-02T10:30:37Z,PUBLIC,FALSE,12,21,42,OK
Safety-Example-STM32,2026-03-12T14:14:03Z,PUBLIC,FALSE,9,23,56,OK
CMSIS-Executorch,2026-03-06T12:59:38Z,PUBLIC,FALSE,12,20,142,OK
AVH-Hello,2026-02-27T08:10:30Z,PUBLIC,FALSE,14,25,85,OK
cmsis-mlek-examples,2026-02-12T11:31:36Z,PUBLIC,FALSE,12,23,45,OK
Middleware_USB_FS,2026-02-12T11:19:17Z,PUBLIC,FALSE,4,22,13,OK
CMSIS-Linux,2026-02-11T14:42:13Z,PUBLIC,FALSE,1,20,10,OK
Hello_World,2026-01-27T14:55:46Z,PUBLIC,FALSE,21,24,46,OK
verify-cmsis-example-action,2025-12-15T11:11:56Z,PUBLIC,FALSE,3,15,4,OK
publish-cmsis-example,2025-11-21T07:12:24Z,PUBLIC,FALSE,0,19,0,OK
Get-Started-with-Edge-AI,2025-11-11T16:04:21Z,PUBLIC,FALSE,20,24,48,OK
Paddle-on-Ethos-U,2025-10-14T07:09:54Z,PUBLIC,FALSE,5,26,33,OK
Arm-Ethos-Zephyr-Playground,2025-10-10T13:23:53Z,PUBLIC,FALSE,16,21,45,OK
Blinky_Ensemble_E8,2025-10-01T14:17:17Z,PUBLIC,FALSE,0,18,0,OK
Helium-Optimization,2024-12-12T20:32:51Z,PUBLIC,FALSE,15,20,34,OK
VSI_video,2024-06-18T07:49:00Z,PUBLIC,FALSE,0,18,0,OK
cloud_ci_demo_rv2,2024-06-15T07:10:27Z,PUBLIC,FALSE,0,16,0,OK
cloud_ci_demo_basic,2024-06-15T07:10:07Z,PUBLIC,FALSE,0,19,0,OK
