# Revision History
# Author,OpenAI Codex
# Date,2026-06-30
# Change,Selected reviewed workbook rows with ignore_status=USE and validated GitHub repository access using Get_Reviewed_Repositories.py v1.0.0

# File Description
# Summary,"Repositories were read from the reviewed workbook, filtered by ignore_status=USE, and checked through the GitHub repository API."
# Generation Process,Two-stage process: stage 1 manual review in Summary_Reviewed_List.xlsx; stage 2 automated access validation for the selected repositories.
# Source Workbook,C:\Users\evagan01\OneDrive - Arm\Documents\Development\Codex\Repository_Analysis\Summary_Reviewed_List.xlsx
# Source Script,Get_Reviewed_Repositories.py v1.0.0

# Field Descriptions
# organization,GitHub organization resolved from the reviewed workbook entry.
# sheet_name,Worksheet name in the reviewed workbook.
# repository,Repository name from the reviewed workbook.
# last_push,Last push timestamp copied from the reviewed workbook.
# visibility,Visibility copied from the reviewed workbook.
# archived,Archived flag copied from the reviewed workbook.
# unique_visitors_14d,Unique visitors in the last 14 days copied from the reviewed workbook.
# unique_cloners_14d,Unique cloners in the last 14 days copied from the reviewed workbook.
# total_views_14d,Total views in the last 14 days copied from the reviewed workbook.
# traffic_status,Traffic readout result copied from the reviewed workbook.
# link_2_repository,Repository URL resolved from the workbook hyperlink column.
# ignore_status,Manual review decision copied from the reviewed workbook.
# access_status,GitHub repository access result for rows marked USE.
# api_visibility,Visibility returned by the GitHub repository API.
# api_archived,Archived flag returned by the GitHub repository API.
# forks_count,Fork count returned by the GitHub repository API.
# default_branch,Default branch returned by the GitHub repository API.
# api_pushed_at,Latest push timestamp returned by the GitHub repository API.
# api_html_url,Canonical repository URL returned by the GitHub repository API.
# api_full_name,Full owner/repository name returned by the GitHub repository API.
# api_status_message,Detailed access message returned or derived from the GitHub API response.

organization,sheet_name,repository,last_push,visibility,archived,unique_visitors_14d,unique_cloners_14d,total_views_14d,traffic_status,link_2_repository,ignore_status,access_status,api_visibility,api_archived,forks_count,default_branch,api_pushed_at,api_html_url,api_full_name,api_status_message
open-cmsis-pack,open-cmisis-pack_raw_list,STM32N6xx_DFP,2026-05-20T09:07:53Z,PUBLIC,FALSE,10,60,24,OK,https://github.com/open-cmsis-pack/STM32N6xx_DFP,USE,OK,public,FALSE,7,main,2026-05-20T09:07:53Z,https://github.com/Open-CMSIS-Pack/STM32N6xx_DFP,Open-CMSIS-Pack/STM32N6xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,vscode-extension-workflows,2026-05-10T10:23:08Z,PUBLIC,FALSE,1,26,2,OK,https://github.com/open-cmsis-pack/vscode-extension-workflows,USE,OK,public,FALSE,0,main,2026-05-10T10:23:08Z,https://github.com/Open-CMSIS-Pack/vscode-extension-workflows,Open-CMSIS-Pack/vscode-extension-workflows,OK
open-cmsis-pack,open-cmisis-pack_raw_list,NXP_FRDM-MCXN947_BSP,2026-04-13T07:49:45Z,PUBLIC,FALSE,3,21,6,OK,https://github.com/open-cmsis-pack/NXP_FRDM-MCXN947_BSP,USE,OK,public,FALSE,2,main,2026-04-13T07:49:45Z,https://github.com/Open-CMSIS-Pack/NXP_FRDM-MCXN947_BSP,Open-CMSIS-Pack/NXP_FRDM-MCXN947_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32U0xx_DFP,2026-03-23T07:26:54Z,PUBLIC,FALSE,4,61,6,OK,https://github.com/open-cmsis-pack/STM32U0xx_DFP,USE,OK,public,FALSE,3,main,2026-03-23T07:26:54Z,https://github.com/Open-CMSIS-Pack/STM32U0xx_DFP,Open-CMSIS-Pack/STM32U0xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H5xx_DFP,2026-03-06T09:42:43Z,PUBLIC,FALSE,31,64,77,OK,https://github.com/open-cmsis-pack/STM32H5xx_DFP,USE,OK,public,FALSE,5,main,2026-03-06T09:42:43Z,https://github.com/Open-CMSIS-Pack/STM32H5xx_DFP,Open-CMSIS-Pack/STM32H5xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32U3xx_DFP,2026-03-06T09:42:19Z,PUBLIC,FALSE,5,58,8,OK,https://github.com/open-cmsis-pack/STM32U3xx_DFP,USE,OK,public,FALSE,2,main,2026-03-06T09:42:19Z,https://github.com/Open-CMSIS-Pack/STM32U3xx_DFP,Open-CMSIS-Pack/STM32U3xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32WBAxx_DFP,2026-03-06T09:41:06Z,PUBLIC,FALSE,3,60,7,OK,https://github.com/open-cmsis-pack/STM32WBAxx_DFP,USE,OK,public,FALSE,2,main,2026-03-06T09:41:06Z,https://github.com/Open-CMSIS-Pack/STM32WBAxx_DFP,Open-CMSIS-Pack/STM32WBAxx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32WL3x_DFP,2026-02-18T16:40:11Z,PUBLIC,FALSE,0,61,0,OK,https://github.com/open-cmsis-pack/STM32WL3x_DFP,USE,OK,public,FALSE,2,main,2026-02-18T16:40:11Z,https://github.com/Open-CMSIS-Pack/STM32WL3x_DFP,Open-CMSIS-Pack/STM32WL3x_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32WBxx_DFP,2026-02-18T16:36:05Z,PUBLIC,FALSE,4,58,6,OK,https://github.com/open-cmsis-pack/STM32WBxx_DFP,USE,OK,public,FALSE,2,main,2026-02-18T16:36:05Z,https://github.com/Open-CMSIS-Pack/STM32WBxx_DFP,Open-CMSIS-Pack/STM32WBxx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32WB0x_DFP,2026-02-18T16:27:51Z,PUBLIC,FALSE,3,59,4,OK,https://github.com/open-cmsis-pack/STM32WB0x_DFP,USE,OK,public,FALSE,1,main,2026-02-18T16:27:51Z,https://github.com/Open-CMSIS-Pack/STM32WB0x_DFP,Open-CMSIS-Pack/STM32WB0x_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32U5xx_DFP,2026-02-18T16:22:42Z,PUBLIC,FALSE,27,72,78,OK,https://github.com/open-cmsis-pack/STM32U5xx_DFP,USE,OK,public,FALSE,5,main,2026-02-18T16:22:42Z,https://github.com/Open-CMSIS-Pack/STM32U5xx_DFP,Open-CMSIS-Pack/STM32U5xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32U575I-EV_BSP,2026-02-18T16:19:05Z,PUBLIC,FALSE,3,20,3,OK,https://github.com/open-cmsis-pack/STM32U575I-EV_BSP,USE,OK,public,FALSE,2,main,2026-02-18T16:19:05Z,https://github.com/Open-CMSIS-Pack/STM32U575I-EV_BSP,Open-CMSIS-Pack/STM32U575I-EV_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L5xx_DFP,2026-02-18T15:42:55Z,PUBLIC,FALSE,7,62,14,OK,https://github.com/open-cmsis-pack/STM32L5xx_DFP,USE,OK,public,FALSE,2,main,2026-02-18T15:42:55Z,https://github.com/Open-CMSIS-Pack/STM32L5xx_DFP,Open-CMSIS-Pack/STM32L5xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L562E-DK_BSP,2026-02-18T15:37:41Z,PUBLIC,FALSE,0,19,0,OK,https://github.com/open-cmsis-pack/STM32L562E-DK_BSP,USE,OK,public,FALSE,2,main,2026-02-18T15:37:41Z,https://github.com/Open-CMSIS-Pack/STM32L562E-DK_BSP,Open-CMSIS-Pack/STM32L562E-DK_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L552E-EV_BSP,2026-02-18T15:33:12Z,PUBLIC,FALSE,1,21,2,OK,https://github.com/open-cmsis-pack/STM32L552E-EV_BSP,USE,OK,public,FALSE,2,main,2026-02-18T15:33:12Z,https://github.com/Open-CMSIS-Pack/STM32L552E-EV_BSP,Open-CMSIS-Pack/STM32L552E-EV_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L4xx_DFP,2026-02-18T15:27:01Z,PUBLIC,FALSE,48,62,97,OK,https://github.com/open-cmsis-pack/STM32L4xx_DFP,USE,OK,public,FALSE,2,main,2026-02-18T15:27:01Z,https://github.com/Open-CMSIS-Pack/STM32L4xx_DFP,Open-CMSIS-Pack/STM32L4xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L4R9I-EVAL_BSP,2026-02-18T15:24:41Z,PUBLIC,FALSE,0,20,0,OK,https://github.com/open-cmsis-pack/STM32L4R9I-EVAL_BSP,USE,OK,public,FALSE,1,main,2026-02-18T15:24:41Z,https://github.com/Open-CMSIS-Pack/STM32L4R9I-EVAL_BSP,Open-CMSIS-Pack/STM32L4R9I-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L4R9I-DISCO_BSP,2026-02-18T15:19:32Z,PUBLIC,FALSE,1,19,1,OK,https://github.com/open-cmsis-pack/STM32L4R9I-DISCO_BSP,USE,OK,public,FALSE,1,main,2026-02-18T15:19:32Z,https://github.com/Open-CMSIS-Pack/STM32L4R9I-DISCO_BSP,Open-CMSIS-Pack/STM32L4R9I-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L496G-DISCO_BSP,2026-02-18T15:10:37Z,PUBLIC,FALSE,1,18,1,OK,https://github.com/open-cmsis-pack/STM32L496G-DISCO_BSP,USE,OK,public,FALSE,1,main,2026-02-18T15:10:37Z,https://github.com/Open-CMSIS-Pack/STM32L496G-DISCO_BSP,Open-CMSIS-Pack/STM32L496G-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L476G-EVAL_BSP,2026-02-18T14:58:15Z,PUBLIC,FALSE,1,21,7,OK,https://github.com/open-cmsis-pack/STM32L476G-EVAL_BSP,USE,OK,public,FALSE,1,main,2026-02-18T14:58:15Z,https://github.com/Open-CMSIS-Pack/STM32L476G-EVAL_BSP,Open-CMSIS-Pack/STM32L476G-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L1xx_DFP,2026-02-18T14:48:23Z,PUBLIC,FALSE,9,58,18,OK,https://github.com/open-cmsis-pack/STM32L1xx_DFP,USE,OK,public,FALSE,2,main,2026-02-18T14:48:23Z,https://github.com/Open-CMSIS-Pack/STM32L1xx_DFP,Open-CMSIS-Pack/STM32L1xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32L0xx_DFP,2026-02-18T14:43:52Z,PUBLIC,FALSE,33,61,73,OK,https://github.com/open-cmsis-pack/STM32L0xx_DFP,USE,OK,public,FALSE,3,main,2026-02-18T14:43:52Z,https://github.com/Open-CMSIS-Pack/STM32L0xx_DFP,Open-CMSIS-Pack/STM32L0xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H7S78-DK_BSP,2026-02-18T14:16:55Z,PUBLIC,FALSE,2,23,6,OK,https://github.com/open-cmsis-pack/STM32H7S78-DK_BSP,USE,OK,public,FALSE,2,main,2026-02-18T14:16:55Z,https://github.com/Open-CMSIS-Pack/STM32H7S78-DK_BSP,Open-CMSIS-Pack/STM32H7S78-DK_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H7RSxx_DFP,2026-02-18T14:04:50Z,PUBLIC,FALSE,5,61,10,OK,https://github.com/open-cmsis-pack/STM32H7RSxx_DFP,USE,OK,public,FALSE,3,main,2026-02-18T14:04:50Z,https://github.com/Open-CMSIS-Pack/STM32H7RSxx_DFP,Open-CMSIS-Pack/STM32H7RSxx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H7B3I-EVAL_BSP,2026-02-18T13:47:17Z,PUBLIC,FALSE,1,21,1,OK,https://github.com/open-cmsis-pack/STM32H7B3I-EVAL_BSP,USE,OK,public,FALSE,1,main,2026-02-18T13:47:17Z,https://github.com/Open-CMSIS-Pack/STM32H7B3I-EVAL_BSP,Open-CMSIS-Pack/STM32H7B3I-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H7B3I-DK_BSP,2026-02-18T13:41:01Z,PUBLIC,FALSE,0,17,0,OK,https://github.com/open-cmsis-pack/STM32H7B3I-DK_BSP,USE,OK,public,FALSE,2,main,2026-02-18T13:41:01Z,https://github.com/Open-CMSIS-Pack/STM32H7B3I-DK_BSP,Open-CMSIS-Pack/STM32H7B3I-DK_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H747I-EVAL_BSP,2026-02-18T13:34:25Z,PUBLIC,FALSE,3,21,11,OK,https://github.com/open-cmsis-pack/STM32H747I-EVAL_BSP,USE,OK,public,FALSE,2,main,2026-02-18T13:34:25Z,https://github.com/Open-CMSIS-Pack/STM32H747I-EVAL_BSP,Open-CMSIS-Pack/STM32H747I-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H745I-DISCO_BSP,2026-02-18T13:28:14Z,PUBLIC,FALSE,1,21,1,OK,https://github.com/open-cmsis-pack/STM32H745I-DISCO_BSP,USE,OK,public,FALSE,3,main,2026-02-18T13:28:14Z,https://github.com/Open-CMSIS-Pack/STM32H745I-DISCO_BSP,Open-CMSIS-Pack/STM32H745I-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H743I-EVAL_BSP,2026-02-18T13:22:12Z,PUBLIC,FALSE,6,19,13,OK,https://github.com/open-cmsis-pack/STM32H743I-EVAL_BSP,USE,OK,public,FALSE,4,main,2026-02-18T13:22:12Z,https://github.com/Open-CMSIS-Pack/STM32H743I-EVAL_BSP,Open-CMSIS-Pack/STM32H743I-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32H735G-DK_BSP,2026-02-18T13:05:26Z,PUBLIC,FALSE,2,20,4,OK,https://github.com/open-cmsis-pack/STM32H735G-DK_BSP,USE,OK,public,FALSE,2,main,2026-02-18T13:05:26Z,https://github.com/Open-CMSIS-Pack/STM32H735G-DK_BSP,Open-CMSIS-Pack/STM32H735G-DK_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32G4xx_DFP,2026-02-18T12:45:09Z,PUBLIC,FALSE,88,71,195,OK,https://github.com/open-cmsis-pack/STM32G4xx_DFP,USE,OK,public,FALSE,2,main,2026-02-18T12:45:09Z,https://github.com/Open-CMSIS-Pack/STM32G4xx_DFP,Open-CMSIS-Pack/STM32G4xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32G474E-EVAL1_BSP,2026-02-18T12:37:46Z,PUBLIC,FALSE,4,18,7,OK,https://github.com/open-cmsis-pack/STM32G474E-EVAL1_BSP,USE,OK,public,FALSE,2,main,2026-02-18T12:37:46Z,https://github.com/Open-CMSIS-Pack/STM32G474E-EVAL1_BSP,Open-CMSIS-Pack/STM32G474E-EVAL1_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32G0xx_DFP,2026-02-18T12:29:24Z,PUBLIC,FALSE,66,62,145,OK,https://github.com/open-cmsis-pack/STM32G0xx_DFP,USE,OK,public,FALSE,4,main,2026-02-18T12:29:24Z,https://github.com/Open-CMSIS-Pack/STM32G0xx_DFP,Open-CMSIS-Pack/STM32G0xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32G071B-DISCO_BSP,2026-02-18T12:24:40Z,PUBLIC,FALSE,3,19,3,OK,https://github.com/open-cmsis-pack/STM32G071B-DISCO_BSP,USE,OK,public,FALSE,2,main,2026-02-18T12:24:40Z,https://github.com/Open-CMSIS-Pack/STM32G071B-DISCO_BSP,Open-CMSIS-Pack/STM32G071B-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F7xx_DFP,2026-02-18T12:11:16Z,PUBLIC,FALSE,27,60,59,OK,https://github.com/open-cmsis-pack/STM32F7xx_DFP,USE,OK,public,FALSE,3,main,2026-02-18T12:11:16Z,https://github.com/Open-CMSIS-Pack/STM32F7xx_DFP,Open-CMSIS-Pack/STM32F7xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F769I-EVAL_BSP,2026-02-18T11:48:01Z,PUBLIC,FALSE,1,20,3,OK,https://github.com/open-cmsis-pack/STM32F769I-EVAL_BSP,USE,OK,public,FALSE,2,main,2026-02-18T11:48:01Z,https://github.com/Open-CMSIS-Pack/STM32F769I-EVAL_BSP,Open-CMSIS-Pack/STM32F769I-EVAL_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F769I-DISCO_BSP,2026-02-18T11:31:31Z,PUBLIC,FALSE,0,20,0,OK,https://github.com/open-cmsis-pack/STM32F769I-DISCO_BSP,USE,OK,public,FALSE,2,main,2026-02-18T11:31:31Z,https://github.com/Open-CMSIS-Pack/STM32F769I-DISCO_BSP,Open-CMSIS-Pack/STM32F769I-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F746G-DISCO_BSP,2026-02-18T09:52:05Z,PUBLIC,FALSE,3,18,3,OK,https://github.com/open-cmsis-pack/STM32F746G-DISCO_BSP,USE,OK,public,FALSE,2,main,2026-02-18T09:52:05Z,https://github.com/Open-CMSIS-Pack/STM32F746G-DISCO_BSP,Open-CMSIS-Pack/STM32F746G-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F4xx_DFP,2026-02-18T09:10:47Z,PUBLIC,FALSE,450,64,914,OK,https://github.com/open-cmsis-pack/STM32F4xx_DFP,USE,OK,public,FALSE,7,main,2026-02-18T09:10:47Z,https://github.com/Open-CMSIS-Pack/STM32F4xx_DFP,Open-CMSIS-Pack/STM32F4xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F469I-DISCO_BSP,2026-02-17T16:42:21Z,PUBLIC,FALSE,0,20,0,OK,https://github.com/open-cmsis-pack/STM32F469I-DISCO_BSP,USE,OK,public,FALSE,1,main,2026-02-17T16:42:21Z,https://github.com/Open-CMSIS-Pack/STM32F469I-DISCO_BSP,Open-CMSIS-Pack/STM32F469I-DISCO_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F429I-DISC1_BSP,2026-02-17T15:56:57Z,PUBLIC,FALSE,6,20,16,OK,https://github.com/open-cmsis-pack/STM32F429I-DISC1_BSP,USE,OK,public,FALSE,3,main,2026-02-17T15:56:57Z,https://github.com/Open-CMSIS-Pack/STM32F429I-DISC1_BSP,Open-CMSIS-Pack/STM32F429I-DISC1_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F407G-DISC1_BSP,2026-02-17T15:48:30Z,PUBLIC,FALSE,17,20,30,OK,https://github.com/open-cmsis-pack/STM32F407G-DISC1_BSP,USE,OK,public,FALSE,1,main,2026-02-17T15:48:30Z,https://github.com/Open-CMSIS-Pack/STM32F407G-DISC1_BSP,Open-CMSIS-Pack/STM32F407G-DISC1_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F3xx_DFP,2026-02-17T15:42:20Z,PUBLIC,FALSE,21,60,31,OK,https://github.com/open-cmsis-pack/STM32F3xx_DFP,USE,OK,public,FALSE,4,main,2026-02-17T15:42:20Z,https://github.com/Open-CMSIS-Pack/STM32F3xx_DFP,Open-CMSIS-Pack/STM32F3xx_DFP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F3DISCOVERY_BSP,2026-02-17T15:31:43Z,PUBLIC,FALSE,2,19,2,OK,https://github.com/open-cmsis-pack/STM32F3DISCOVERY_BSP,USE,OK,public,FALSE,2,main,2026-02-17T15:31:43Z,https://github.com/Open-CMSIS-Pack/STM32F3DISCOVERY_BSP,Open-CMSIS-Pack/STM32F3DISCOVERY_BSP,OK
open-cmsis-pack,open-cmisis-pack_raw_list,STM32F3348-DISCO_BSP,2026-02-17T15:21:10Z,PUBLIC,FALSE,0,19,0,OK,https://github.com/open-cmsis-pack/STM32F3348-DISCO_BSP,USE,OK,public,FALSE,2,main,2026-02-17T15:21:10Z,https://github.com/Open-CMSIS-Pack/STM32F3348-DISCO_BSP,Open-CMSIS-Pack/STM32F3348-DISCO_BSP,OK
